finding_id,rule_id,rule_name,standard,risk_score,risk_priority,irap_stars,irap_label,gap_start_sec,gap_end_sec,gap_duration_sec,estimated_gap_meters,position_start_meters,position_end_meters,trigger_class,trigger_confidence,recommended_action,track_id,status,score_breakdown,ai_recommendation,snapshot_path,hospital_zone
F-9AC1E43C,R-09,Manhole Cover Infrastructure Issue,MOMAH General Specifications for Urban Roads Construction | Saudi Highway Code SHC,50,HIGH,2,High risk road,18.6,18.6,0.0,0.0,206.67,206.67,manholes,0.6377,Inspect per MOMAH General Specifications for Urban Roads Construction. Manhole covers must be flush with the pavement surface — protruding or sunken covers are classified as significant road hazards. Covers must have anti-slip properties and withstand applicable traffic load categories. Report to the relevant utility authority for immediate inspection and rectification.,160.0,PENDING_REVIEW,"{'raw_score': 50.0, 'final_score': 50, 'risk_priority': 'HIGH', 'irap_stars': 2, 'irap_label': 'High risk road', 'base_score': 50, 'confidence_factor': 1.0, 'zone_multiplier': 1.0, 'compound_factor': 1.0, 'trigger_confidence': 1.0, 'violation_count_in_zone': 1, 'zone_context': 'general_road'}","The road inspection AI has identified a high-severity safety issue concerning manhole cover infrastructure, with a risk score of 50 out of 100. This issue poses a significant safety risk as improperly secured or damaged manhole covers can lead to vehicle damage, accidents, and potential injuries to road users. Immediate corrective action is required to inspect and secure or replace the affected manhole covers to ensure they are flush with the road surface and structurally sound. Given the high risk and potential for accidents, this issue should be addressed with urgency to maintain road safety and compliance with Saudi MOMAH and KSARAP standards.",snapshots/F-9AC1E43C.jpg,St. Jude Trauma Center
F-EB90E20B,R-01,Road Surface Defect — Pothole Detected,MOMAH General Specifications for Urban Roads Construction | Saudi Highway Code SHC | Roads General Authority (RGA) Maintenance Obligations,50,HIGH,2,High risk road,20.5,20.5,0.0,0.0,227.78,227.78,potholes,0.4367,Report via the Balady platform (balady.gov.sa) under MOMAH General Specifications for Urban Roads Construction. The responsible municipality or contracted maintenance entity is legally obligated to inspect and repair the road surface defect. Unaddressed potholes causing vehicle damage or accidents may result in legal liability for the contractor or municipal authority under Saudi law. Commission immediate pavement assessment and schedule urgent repair works.,170.0,CONFIRMED,"{'raw_score': 50.0, 'final_score': 50, 'risk_priority': 'HIGH', 'irap_stars': 2, 'irap_label': 'High risk road', 'base_score': 50, 'confidence_factor': 1.0, 'zone_multiplier': 1.0, 'compound_factor': 1.0, 'trigger_confidence': 1.0, 'violation_count_in_zone': 1, 'zone_context': 'general_road'}","A high-severity road surface defect, specifically a pothole, has been detected, posing a significant safety risk to vehicles and pedestrians. Potholes can lead to vehicle damage, loss of control, and accidents, especially at night or during adverse weather conditions. Immediate corrective action is recommended to repair the pothole promptly, ensuring the road surface is restored to a safe condition. Given the risk score of 50 out of 100, addressing this issue should be prioritized to prevent potential hazards and maintain road safety standards.",snapshots/F-EB90E20B.jpg,St. Jude Trauma Center
F-53983C1B,R-02,Missing Road Marking — Visibility Compliance Failure,Saudi Highway Code SHC 602 (Saudi MUTCD) | MOMAH Urban Roads Maintenance Obligations,50,HIGH,2,High risk road,22.865,22.865,0.0,0.0,254.06,254.06,missing_road_marking,0.3049,Inspect per Saudi Highway Code SHC 602 (Saudi Manual on Uniform Traffic Control Devices). Road markings must be visible day and night and incorporate retroreflective properties using glass beads in thermoplastic or approved materials. MOMAH municipalities are responsible for rehabilitating faded or missing ground markings on urban roads. Schedule immediate repainting using compliant thermoplastic retroreflective material. Report via the Balady platform if within municipal jurisdiction.,187.0,PENDING_REVIEW,"{'raw_score': 50.0, 'final_score': 50, 'risk_priority': 'HIGH', 'irap_stars': 2, 'irap_label': 'High risk road', 'base_score': 50, 'confidence_factor': 1.0, 'zone_multiplier': 1.0, 'compound_factor': 1.0, 'trigger_confidence': 1.0, 'violation_count_in_zone': 1, 'zone_context': 'general_road'}","The AI inspection has identified a missing road marking, classified as a high-severity issue with a risk score of 50/100, which compromises visibility compliance. This absence of road markings poses a significant safety risk as it can lead to driver confusion, increased likelihood of lane departure, and potential collisions, especially under poor visibility conditions. Immediate corrective action is recommended to repaint the missing markings to ensure clear lane delineation and maintain compliance with Saudi MOMAH and KSARAP standards. Prompt attention to this issue is crucial to mitigate the risk of accidents and enhance overall road safety.",snapshots/F-53983C1B.jpg,St. Jude Trauma Center
F-709229A5,R-08,Unauthorized Speed Hump Detected,SASO GSO 2084:2010 | Saudi Highway Code SHC 602,25,MEDIUM,3,Medium risk road,24.08,24.08,0.0,0.0,267.56,267.56,random_bumps,0.576,Verify compliance with SASO GSO 2084:2010. Speed humps require an engineering study and formal municipal approval via the Balady platform per Saudi Highway Code SHC 602. Speed humps installed without approval must be removed. Ensure warning signs and reflective markings are in place if the hump is authorized.,216.0,PENDING_REVIEW,"{'raw_score': 25.0, 'final_score': 25, 'risk_priority': 'MEDIUM', 'irap_stars': 3, 'irap_label': 'Medium risk road', 'base_score': 25, 'confidence_factor': 1.0, 'zone_multiplier': 1.0, 'compound_factor': 1.0, 'trigger_confidence': 1.0, 'violation_count_in_zone': 1, 'zone_context': 'general_road'}","The road inspection AI has identified an unauthorized speed hump, labeled as ""random_bumps,"" with a medium severity risk score of 25 out of 100. Such unauthorized speed humps can pose significant safety risks by causing unexpected vehicle maneuvers, potentially leading to accidents or damage to vehicles. It is recommended that the municipal traffic engineering team promptly assess the location to confirm the presence of the speed hump and remove it if it is not compliant with Saudi MOMAH and KSARAP standards. Addressing this issue should be prioritized to ensure road safety and maintain consistent traffic flow.",snapshots/F-709229A5.jpg,St. Jude Trauma Center
F-8B3DE3B7,R-14,Curbstone Marking Condition Issue,MOMAH General Specifications Guide for Road Construction and Structures | Saudi Highway Code SHC,0,LOW,5,Safe road,24.2,24.2,0.0,0.0,268.89,268.89,painting_of_curbstone,0.3105,"Inspect per the MOMAH General Specifications Guide for Road Construction. Curbstone markings must be weather-resistant, durable under Saudi climatic conditions, and retroreflective using glass beads for night visibility. Faded, chipped, or missing curbstone paint must be repainted to restore road boundary clarity and traffic safety. Coordinate with the local municipality maintenance department for repainting works.",222.0,PENDING_REVIEW,"{'raw_score': 0.0, 'final_score': 0, 'risk_priority': 'LOW', 'irap_stars': 5, 'irap_label': 'Safe road', 'base_score': 0, 'confidence_factor': 1.0, 'zone_multiplier': 1.0, 'compound_factor': 1.0, 'trigger_confidence': 1.0, 'violation_count_in_zone': 1, 'zone_context': 'general_road'}","The road inspection AI has identified a curbstone marking condition issue, which, while currently assessed as low severity with a risk score of 0, could potentially impact road safety by reducing visibility and clarity of road boundaries for drivers, especially in adverse weather conditions or at night. Although the issue was briefly visible in the video, it is crucial to address it to prevent any potential escalation. It is recommended that the municipal traffic department schedule a repainting of the curbstone markings to ensure they are clearly visible and meet the Saudi MOMAH and KSARAP standards. This corrective action should be prioritized in routine maintenance to maintain optimal safety conditions.",snapshots/F-8B3DE3B7.jpg,St. Jude Trauma Center
F-A737257A,R-07,Street Light Spacing Violation,SASO 2927:2019 (mandatory since September 2020),49,MEDIUM,3,Medium risk road,27.72,33.835,6.115,67.9,308.0,375.94,street_light,0.6551,Install additional street light. Gap exceeds SASO 2927:2019 maximum 40m spacing for collector/arterial roads. Verify pole height and lux output meet ME-class illuminance requirements.,,PENDING_REVIEW,"{'raw_score': 49.0, 'final_score': 49, 'risk_priority': 'MEDIUM', 'irap_stars': 3, 'irap_label': 'Medium risk road', 'base_score': 35, 'confidence_factor': 1.0, 'zone_multiplier': 1.0, 'compound_factor': 1.4, 'trigger_confidence': 1.0, 'violation_count_in_zone': 3, 'zone_context': 'general_road'}","The AI inspection identified a street light spacing violation, indicating that the distance between street lights does not meet the recommended standards. This issue poses a medium-level safety risk by potentially reducing visibility for drivers, which can increase the likelihood of accidents, particularly during nighttime or adverse weather conditions. It is recommended to assess and adjust the spacing of the street lights to comply with Saudi MOMAH and KSARAP standards to ensure adequate illumination. Addressing this issue should be prioritized to enhance road safety and prevent potential hazards.",snapshots/F-A737257A.jpg,St. Jude Trauma Center
F-060FE68A,R-14,Curbstone Marking Condition Issue,MOMAH General Specifications Guide for Road Construction and Structures | Saudi Highway Code SHC,0,LOW,5,Safe road,29.535,29.535,0.0,0.0,328.17,328.17,painting_of_curbstone,0.4593,"Inspect per the MOMAH General Specifications Guide for Road Construction. Curbstone markings must be weather-resistant, durable under Saudi climatic conditions, and retroreflective using glass beads for night visibility. Faded, chipped, or missing curbstone paint must be repainted to restore road boundary clarity and traffic safety. Coordinate with the local municipality maintenance department for repainting works.",287.0,PENDING_REVIEW,"{'raw_score': 0.0, 'final_score': 0, 'risk_priority': 'LOW', 'irap_stars': 5, 'irap_label': 'Safe road', 'base_score': 0, 'confidence_factor': 1.0, 'zone_multiplier': 1.0, 'compound_factor': 1.0, 'trigger_confidence': 1.0, 'violation_count_in_zone': 1, 'zone_context': 'general_road'}","The road inspection AI has identified a curbstone marking condition issue, which, although currently rated as low severity with a risk score of 0, can become a safety risk if left unaddressed. Properly marked curbstones are essential for guiding drivers and pedestrians, especially in low visibility conditions, to prevent accidents. It is recommended to schedule routine maintenance to repaint the curbstones to ensure they remain clearly visible. While the urgency is not immediate, addressing this issue in the near term will help maintain optimal road safety standards.",snapshots/F-060FE68A.jpg,St. Jude Trauma Center
F-79E6D7EA,R-07,Street Light Spacing Violation,SASO 2927:2019 (mandatory since September 2020),49,MEDIUM,3,Medium risk road,35.93,40.8,4.87,54.1,399.22,453.33,street_light,0.7034,Install additional street light. Gap exceeds SASO 2927:2019 maximum 40m spacing for collector/arterial roads. Verify pole height and lux output meet ME-class illuminance requirements.,,PENDING_REVIEW,"{'raw_score': 49.0, 'final_score': 49, 'risk_priority': 'MEDIUM', 'irap_stars': 3, 'irap_label': 'Medium risk road', 'base_score': 35, 'confidence_factor': 1.0, 'zone_multiplier': 1.0, 'compound_factor': 1.4, 'trigger_confidence': 1.0, 'violation_count_in_zone': 3, 'zone_context': 'general_road'}","The road inspection AI has identified a street light spacing violation, which presents a medium-level safety risk with a risk score of 49 out of 100. Inadequate street lighting can lead to poor visibility for drivers and pedestrians, increasing the likelihood of accidents, particularly during nighttime or adverse weather conditions. It is recommended to reassess and adjust the spacing of street lights to comply with Saudi MOMAH and KSARAP standards, ensuring uniform and adequate illumination across the roadway. Addressing this issue should be prioritized to enhance road safety and prevent potential accidents.",snapshots/F-79E6D7EA.jpg,St. Jude Trauma Center
F-047F8F18,R-09,Manhole Cover Infrastructure Issue,MOMAH General Specifications for Urban Roads Construction | Saudi Highway Code SHC,50,HIGH,2,High risk road,37.2,37.2,0.0,0.0,413.33,413.33,manholes,0.3054,Inspect per MOMAH General Specifications for Urban Roads Construction. Manhole covers must be flush with the pavement surface — protruding or sunken covers are classified as significant road hazards. Covers must have anti-slip properties and withstand applicable traffic load categories. Report to the relevant utility authority for immediate inspection and rectification.,390.0,PENDING_REVIEW,"{'raw_score': 50.0, 'final_score': 50, 'risk_priority': 'HIGH', 'irap_stars': 2, 'irap_label': 'High risk road', 'base_score': 50, 'confidence_factor': 1.0, 'zone_multiplier': 1.0, 'compound_factor': 1.0, 'trigger_confidence': 1.0, 'violation_count_in_zone': 1, 'zone_context': 'general_road'}","The road inspection AI has identified a high-severity safety issue involving a manhole cover, which poses a significant risk to road users. This infrastructure problem can lead to accidents, particularly for vehicles and motorcycles, due to potential misalignment or damage that may cause sudden vehicle instability. Immediate corrective action is required to inspect and secure or replace the manhole cover to prevent accidents and ensure road safety. Given the high risk score of 50 out of 100, this issue demands urgent attention to mitigate potential hazards effectively.",snapshots/F-047F8F18.jpg,St. Jude Trauma Center
F-919F0B0F,R-09,Manhole Cover Infrastructure Issue,MOMAH General Specifications for Urban Roads Construction | Saudi Highway Code SHC,50,HIGH,2,High risk road,43.63,43.63,0.0,0.0,484.78,484.78,manholes,0.4004,Inspect per MOMAH General Specifications for Urban Roads Construction. Manhole covers must be flush with the pavement surface — protruding or sunken covers are classified as significant road hazards. Covers must have anti-slip properties and withstand applicable traffic load categories. Report to the relevant utility authority for immediate inspection and rectification.,474.0,PENDING_REVIEW,"{'raw_score': 50.0, 'final_score': 50, 'risk_priority': 'HIGH', 'irap_stars': 2, 'irap_label': 'High risk road', 'base_score': 50, 'confidence_factor': 1.0, 'zone_multiplier': 1.0, 'compound_factor': 1.0, 'trigger_confidence': 1.0, 'violation_count_in_zone': 1, 'zone_context': 'general_road'}","The road inspection AI has identified a high-severity safety issue concerning manhole cover infrastructure, with a risk score of 50 out of 100, indicating a significant hazard. This issue poses a safety risk as improperly secured or misaligned manhole covers can lead to accidents, vehicle damage, or injuries to pedestrians and cyclists. It is imperative to conduct an immediate on-site inspection to assess the condition of the manhole covers and ensure they are properly aligned and secured. Prompt corrective action is necessary to mitigate potential hazards and ensure road user safety, in compliance with Saudi MOMAH and KSARAP standards.",snapshots/F-919F0B0F.jpg,St. Jude Trauma Center
F-1751E0FC,R-07,Street Light Spacing Violation,SASO 2927:2019 (mandatory since September 2020),42,MEDIUM,3,Medium risk road,45.1,55.78,10.68,118.7,501.11,619.78,street_light,0.6803,Install additional street light. Gap exceeds SASO 2927:2019 maximum 40m spacing for collector/arterial roads. Verify pole height and lux output meet ME-class illuminance requirements.,,PENDING_REVIEW,"{'raw_score': 42.0, 'final_score': 42, 'risk_priority': 'MEDIUM', 'irap_stars': 3, 'irap_label': 'Medium risk road', 'base_score': 35, 'confidence_factor': 1.0, 'zone_multiplier': 1.0, 'compound_factor': 1.2, 'trigger_confidence': 1.0, 'violation_count_in_zone': 2, 'zone_context': 'general_road'}","The road inspection AI has identified a street light spacing violation, which poses a medium-level safety risk with a risk score of 42 out of 100. Inadequate street lighting can lead to reduced visibility for drivers, increasing the likelihood of accidents, particularly during nighttime or adverse weather conditions. It is recommended to assess and adjust the spacing of street lights in the affected area to ensure uniform and adequate illumination. Addressing this issue should be prioritized to enhance road safety and prevent potential hazards.",snapshots/F-1751E0FC.jpg,St. Jude Trauma Center
